Timestamp	operation-automated	config-track-changes	config-decide-changes	config-automated-changes	config-gen-deploy	prod-changes-minor	prod-changes-major	troubleshoot	software-upgrade	software-validation	anomaly-detection	env-nbr-devices	env-vendors	env-type	env-language-python	env-language-golang	env-language-javascript	env-language-ruby	env-language-c-cpp	env-language-shell	env-language-other	env-virtual-network	env-server-automation	env-location	trend-topics-iac	trend-topics-event-driven	trend-topics-chatops	trend-topics-ci-cd	trend-topics-devops	trend-topics-telemetry-streaming	trend-topics-ibns	trend-tools-ansible	trend-tools-chef	trend-tools-puppet	trend-tools-saltstack	trend-tools-napalm	trend-tools-git	trend-tools-keyword-testing	trend-tools-ci	trend-tools-stackstorm	trend-tools-apstra	trend-tools-gluware	trend-tools-anuta-networks	feedback
11/1/16 16:26	Software upgrade	Rancid/Oxidized	No	No	"Ansible, Tail-F"	1 to 5 per month	Less than 1 per month	Ansible	Ansible	Ansible	Ansible	1001+	"Arista Networks, Cisco IOS, Cisco NX-OS, Juniper, Huawei"	"Datacenter, Internet Peering, WAN, SP Backbone"	A little					A little		"Vagrant, OpenStack, Vendor provided solution"	"Ansible, Puppet"	North America	Currently evaluating it	Currently evaluating it	No interest	Currently evaluating it	Currently evaluating it	Currently evaluating it	No interest	Already in production		Already in production			Already in production		Currently Evaluating it					
11/1/16 17:38		Rancid/Oxidized	No	No	"Ansible, Tail-F"	More than 1 a day	1 to 5 per week	"Ansible, Tail-F"	Ansible	Ansible	Syslog	1001+	"Cisco IOS, Cisco NX-OS"	"WAN, SP Backbone"	A lot							"VMWare, Non-VMWare hypervisor"	Ansible	North America																				
11/1/16 19:45	"Day 0 Provisioning using a vendor solution, Configuration deployment, Anomaly detection, Compliance Checks"	Version control	No	No	"Network vendor specific tools, Terraform, AWS CloudFormation, Third Party Software"	More than 1 a day	1 to 5 per week	We haven't automated the troubleshooting	We haven't automated software upgrades	Custom scripts	Custom scripts	1001+	Amazon Web Services	Datacenter	A lot	A little						Docker or Containers	Terraform	North America	Already in production	Currently evaluating it	Thinking about it	Already in production	Already in production	Currently evaluating it	Thinking about it						Already in production		Already in production					
11/1/16 20:45	"Day 0 Provisioning using a vendor solution, Configuration deployment, Configuration archiving, Troubleshooting"	"Version control, Vendor specific tools"	No	Yes	"Ansible, Network vendor specific tools"	1 to 5 per week	1 to 5 per month	Ansible				51-250	"Cisco IOS, Cisco NX-OS, HPE"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A lot	None	A little	A little	None	A lot	A lot	"Vagrant, VMWare, UNetLab"	"Ansible, Chef"	North America	Already in production	Thinking about it	Already in production	Already in production	Already in production	Currently evaluating it	Currently evaluating it	Already in production	Currently Evaluating it	Currently Evaluating it	Thinking about it	Currently Evaluating it	Already in production	Currently Evaluating it	Already in production	No interest	No interest	No interest	No interest	
11/1/16 22:37	"Configuration generation, Configuration deployment"	Vendor specific tools		Yes	Ansible	Not sure		Ansible	Ansible	Ansible	Ansible	1001+	"Cisco IOS, Cisco NX-OS, Juniper, Huawei"	"Datacenter, Internet Peering, SP Backbone"							None	"VMWare, UNetLab"	Chef	Asia																				
11/1/16 23:48	"Configuration generation, Configuration deployment, Troubleshooting, Pre/Post Change Checks, Data Collection / Reporting"	Vendor specific tools	Partially	Yes	"Ansible, Custom scripts (python ..), Network vendor specific tools, HPE Network Automation (HP NA)"	More than 1 a day	1 to 5 per month	"Ansible, Custom scripts (python ..)"	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	251-1000	"Arista Networks, Cisco IOS, Cisco NX-OS"	"Datacenter, Campus/User Access"	A lot		A little			A little		"Vagrant, Docker or Containers, GNS3"	Ansible	North America	Currently evaluating it	Currently evaluating it	Thinking about it	Currently evaluating it	Currently evaluating it	Thinking about it	I don't know	Already in production	No interest	No interest	No interest	Thinking about it	Already in production	No interest	Currently Evaluating it	Thinking about it	No interest	No interest	No interest	
11/2/16 0:55	"Configuration generation, Configuration archiving"	"Version control, Rancid/Oxidized"	No	Yes	We haven't automated the generation or deployment of our configurations	1 to 5 per week	Less than 1 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	0-50	"Brocade, Cisco IOS, Dell, Juniper"	Internet Peering	A little	None	None	None	None	A lot		We are not using virtual network devices for training or qualification	Ansible	Europe	I don't know	I don't know	I don't know	I don't know	Thinking about it	I don't know	I don't know	Already in production	I don't know	I don't know	I don't know	Thinking about it	Already in production	I don't know	No interest	I don't know	I don't know	I don't know	I don't know	
11/2/16 1:34	Configuration archiving	We are not keeping track of that	Partially	Yes	"Ansible, Tail-F"	More than 1 a day	1 to 5 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	1001+	"Cisco IOS, Cisco NX-OS, Juniper"	"Datacenter, Internet Peering, WAN, SP Backbone"	A little		A lot					GNS3	Ansible	Asia	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Currently evaluating it	Currently evaluating it	Thinking about it	Already in production												
11/2/16 1:44	"Configuration deployment, Software upgrade, Data Collection / Reporting, Compliance Checks"	Vendor specific tools	No	Yes	Custom scripts (python ..)	More than 1 a day	1 to 5 per week	We haven't automated the troubleshooting	Network vendor specific tools	We haven't automated software qualification	We haven't automated the detection of anomaly	1001+	"Cisco IOS, Cisco NX-OS, Dell, Juniper"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A little	None	None	None	None	A little	A little	We are not using virtual network devices for training or qualification	"Ansible, Puppet"	Europe	I don't know	Already in production	I don't know	I don't know	Currently evaluating it	I don't know	I don't know	Thinking about it	No interest	Currently Evaluating it	I don't know	I don't know	Thinking about it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
11/2/16 2:49	Data Collection / Reporting	"AAA logs, Misc"	No	Yes	We haven't automated the generation or deployment of our configurations	1 to 5 per month	1 to 5 per month	We haven't automated the troubleshooting	We haven't automated software upgrades		We haven't automated the detection of anomaly	0-50	Extreme Networks	Campus/User Access	A lot	None	None	None	A little	A little	None	"GNS3, Mininet, Third Party Software"	Ansible	Europe								Currently Evaluating it	Thinking about it	Thinking about it	No interest	No interest	Thinking about it	No interest	Thinking about it	No interest	No interest	No interest	I don't know	
11/2/16 3:08	"Configuration generation, Configuration deployment"	"Microsoft Excel, Misc"	Partially	Yes	Tail-F	1 to 5 per month	Less than 1 per month	Custom scripts (python ..)	We haven't automated software upgrades	Custom scripts	We haven't automated the detection of anomaly	251-1000	"Arista Networks, Cisco IOS, Cisco NX-OS, Juniper"	Internet Peering	A little							"Vagrant, VMWare, OpenStack"	We don't have automation for server	North America	Currently evaluating it	Thinking about it	No interest	Currently evaluating it	Currently evaluating it		Thinking about it	Thinking about it	Already in production											
11/2/16 4:40	"Configuration generation, Configuration deployment, Configuration archiving, Software upgrade"	We are not keeping track of that	Yes	Yes	Custom scripts (python ..)	1 to 5 per month	Less than 1 per month	Custom scripts (python ..)	Custom scripts (python ..)	We haven't automated software qualification	We haven't automated the detection of anomaly	251-1000	"Cisco IOS, Juniper"	"Campus/User Access, SP Backbone"	None							"Vagrant, GNS3"	"Vendor Specific, in-house developed tool"	Europe	I don't know	Thinking about it	I don't know	I don't know	Currently evaluating it	I don't know	I don't know	Currently Evaluating it					Currently Evaluating it							
11/2/16 5:14	Configuration generation	Version control	No	Yes	"Custom scripts (python ..), in-house developed tools"	Less than 1 per month	Less than 1 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	0-50	Mikrotik	"Datacenter, Campus/User Access, Internet Peering, WAN, SP Backbone"	A lot	None	None	None	A lot	A lot		Non-VMWare hypervisor	Ansible	Europe	Thinking about it	Thinking about it	I don't know	No interest	No interest	Currently evaluating it	I don't know	Already in production	No interest	No interest	No interest	No interest	Already in production	I don't know	No interest	I don't know	I don't know	I don't know	I don't know	
11/2/16 7:19	"Configuration deployment, Software upgrade"	We are not keeping track of that	No	Yes	"Ansible, Quali, Third Party Software"	Not sure	Not sure	We haven't automated the troubleshooting	"Third Party Software, Quali"	We haven't automated software qualification	We haven't automated the detection of anomaly	51-250	Juniper	Datacenter	A little	None	None	None	None	A little	A lot	"VMWare, Quali, Third Party Software"	"Ansible, Quali"	North America	I don't know	I don't know	I don't know	Currently evaluating it	Already in production	I don't know	No interest	Already in production	No interest	No interest	I don't know	I don't know	Already in production	No interest	I don't know	No interest	No interest	No interest	No interest	
11/2/16 7:29	"Day 0 Provisioning using a vendor solution, Configuration deployment, Software qualification, Software upgrade, Pre/Post Change Checks"	Version control	No	Yes	"Ansible, Network vendor specific tools"	Less than 1 per month	Less than 1 per month	"Ansible, Custom scripts (python ..)"	"Network vendor specific tools, in-house tool, Custom scripts (python ..)"	Ansible	"Syslog, Custom scripts"	1001+	Juniper	"Internet Peering, WAN"	A lot					A lot		We are not using virtual network devices for training or qualification	Ansible	North America	I don't know	Currently evaluating it	I don't know	Currently evaluating it	Already in production	Currently evaluating it	Currently evaluating it	Currently Evaluating it					Currently Evaluating it		Already in production	I don't know	I don't know	I don't know	I don't know	This is a great start for initiating a dialogue and discussion about automation. As a developer turned automaton ( :-)) I feel there is a huge potential to leverage current tools and reduce the Vendor's opex and network user experience . Many are working on silos and pointed solutions which is a great start but a big challenge as well. I hope to be part of a comprehensive solution and contribute towards the same
11/2/16 7:55	"Configuration generation, Configuration deployment, Configuration archiving, Software upgrade, Data Collection / Reporting"	Version control	Partially	No	Ansible	1 to 5 per month	Less than 1 per month	Ansible	Ansible			0-50	VyOS	"AWS Cloud, Public Cloud"	A little			A little		A lot		We are not using virtual network devices for training or qualification	Ansible	North America	Already in production	Thinking about it	Already in production	Currently evaluating it	Already in production	Already in production	I don't know	Already in production	No interest	No interest	No interest	No interest	Already in production	No interest	Currently Evaluating it	No interest	No interest	No interest	No interest	
11/2/16 8:17	"Configuration deployment, Software upgrade"	"FTP/SCP/TFTP, Rancid/Oxidized"	No	Yes		1 to 5 per week	1 to 5 per week		We haven't automated software upgrades			0-50	"Cisco IOS, Juniper"	SP Backbone	None	None	None	None	None	None	None	"VMWare, Vendor provided solution"	We don't have automation for server	Europe	No interest			I don't know		Currently evaluating it							Thinking about it							
11/2/16 11:42	"Configuration generation, Pre/Post Change Checks"	Rancid/Oxidized	Partially	Yes		More than 1 a day	1 to 5 per month					251-1000	"Arista Networks, Brocade, Cisco IOS"	"Datacenter, Campus/User Access, WAN, SP Backbone"	None	None	None	None	None	A lot	A little	Vendor provided solution	We don't have automation for server	North America	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	Thinking about it	I don't know	Thinking about it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
11/2/16 12:03	"Configuration generation, Configuration deployment, Configuration archiving, Data Collection / Reporting"	"Rancid/Oxidized, Vendor specific tools"	Partially	Yes	"Custom scripts (python ..), Network vendor specific tools"	More than 1 a day	1 to 5 per week	We haven't automated the troubleshooting	We haven't automated software upgrades	Custom scripts	We haven't automated the detection of anomaly	1001+	"Cisco IOS, Cisco NX-OS"	"Datacenter, Campus/User Access, WAN"	A little	None	None	None	None	A little		"VMWare, UNetLab"	"Ansible, Microsoft SCCM"	Europe	I don't know	I don't know	I don't know	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	No interest	No interest	No interest	Thinking about it	Thinking about it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
11/2/16 12:45	"Configuration generation, Configuration archiving, Pre/Post Change Checks"	"Vendor specific tools, Kiwi CatTools"	No	Yes	"Custom scripts (python ..), We haven't automated the generation or deployment of our configurations"	1 to 5 per month	1 to 5 per month	We haven't automated the troubleshooting	"Network vendor specific tools, WLAN controller-based system"	We haven't automated software qualification	We haven't automated the detection of anomaly	251-1000	"Cisco IOS, HPE, Zebra, Ruckus"	Campus/User Access	A little	None	None	None	None	A little	A little	"VMWare, Non-VMWare hypervisor, GNS3, UNetLab"	Microsoft SCCM	Australia / Oceania / Pacific Islands	Thinking about it	Thinking about it	I don't know	Thinking about it	Currently evaluating it	I don't know	No interest	Thinking about it	Thinking about it	Thinking about it	Thinking about it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	More surveys like this please
11/2/16 13:43	"Configuration archiving, Data Collection / Reporting, Compliance Checks"	Vendor specific tools	Partially	Yes	"Network vendor specific tools, HPE Network Automation (HP NA)"	1 to 5 per month		"Vendor specific tools, HPE Network Node Manager i, Third Party Software"	We haven't automated software upgrades	"Network vendor specific tools, HPE Network Automation"	"Vendor specific tools, HPE Network Automation"	1001+	"Cisco IOS, HPE, Aruba Networks, Check Point, Avocent"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A little	None	None	None	None	None	None	We are not using virtual network devices for training or qualification	"Vendor Specific, We don't have automation for server"	North America	Thinking about it	Thinking about it		Currently evaluating it	Currently evaluating it	I don't know	I don't know	Thinking about it	Thinking about it	Thinking about it	I don't know	I don't know	Currently Evaluating it	I don't know	Thinking about it	I don't know	I don't know	I don't know	I don't know	
11/2/16 16:40	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment"	"Version control, Rancid/Oxidized"	No	Yes	Ansible	More than 1 a day	1 to 5 per month					51-250	Juniper	"Datacenter, Internet Peering, WAN, SP Backbone, Internet Exchange"	None	None	None	None	None	None	None	We are not using virtual network devices for training or qualification	Puppet	Europe	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	Already in production				Thinking about it								
11/3/16 0:07	"Configuration deployment, Compliance Checks"	"Version control, Vendor specific tools"	Partially	Yes	"Custom scripts (python ..), Tufin, Third Party Software"	1 to 5 per week	Less than 1 per month				We haven't automated the detection of anomaly	251-1000	"Cisco IOS, Cisco NX-OS"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A little					A little		"Non-VMWare hypervisor, GNS3"	"Chef, AWS tools"	Europe	Currently evaluating it	Currently evaluating it	Already in production	Currently evaluating it	Already in production	Thinking about it	I don't know		Already in production				Already in production							
11/3/16 3:15	"Anomaly detection, Data Collection / Reporting"	Rancid/Oxidized	No	Yes	"Ansible, Custom scripts (python ..)"	More than 1 a day	1 to 5 per week	"Ansible, Custom scripts (python ..)"	We haven't automated software upgrades	Custom scripts	Custom scripts	1001+	"Cisco IOS, Dell, Juniper, Linux"	"Datacenter, Campus/User Access, Internet Peering, WAN, SP Backbone"	A little	None	A little	None	None	A little	A little	"VMWare, GNS3, Vendor provided solution"	Ansible	North America	Thinking about it	Thinking about it	No interest	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Currently Evaluating it	Thinking about it	Thinking about it	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	
11/3/16 6:04	Configuration archiving	Version control	Partially	Yes	"NAPALM, Custom scripts (python ..)"	More than 1 a day	Less than 1 per month	Custom scripts (python ..)	We haven't automated software upgrades	We haven't automated software qualification	Custom scripts	51-250	"F5 Networks, Fortinet, Extreme Networks"	"Datacenter, Internet Peering, WAN"	A lot					A lot		"Vagrant, Non-VMWare hypervisor"	"Ansible, Chef, Puppet"	North America	Currently evaluating it	Thinking about it	Currently evaluating it	Currently evaluating it	Currently evaluating it	Already in production	No interest	Currently Evaluating it	Thinking about it	Thinking about it	Thinking about it	Currently Evaluating it	Already in production	Currently Evaluating it	Currently Evaluating it	No interest	No interest	No interest	No interest	
11/3/16 8:18	"Configuration generation, Configuration archiving"	Rancid/Oxidized	No	Yes	"Ansible, Custom scripts (python ..)"	More than 1 a day	1 to 5 per month	"Ansible, Custom scripts (python ..)"	We haven't automated software upgrades	We haven't automated software qualification	"Syslog, Custom scripts"	51-250	"Cisco IOS, Cisco NX-OS, Juniper"	"Datacenter, Internet Peering, SP Backbone"	A lot					A little	A little	"VMWare, UNetLab"	Ansible	Europe	Already in production	Thinking about it	Thinking about it	Thinking about it	Currently evaluating it	Thinking about it	Thinking about it	Already in production	No interest	No interest	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	I don't know	I don't know	I don't know	
11/3/16 9:29	"Pre/Post Change Checks, Data Collection / Reporting"	"Version control, Rancid/Oxidized"	No	Yes	We haven't automated the generation or deployment of our configurations	1 to 5 per month	Less than 1 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	51-250	"Juniper, HPE, OpenBSD"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A little	None	None	None	A lot	A lot	None	We are not using virtual network devices for training or qualification	Puppet	Europe	Thinking about it	No interest	No interest	Thinking about it	No interest	Thinking about it	No interest	Currently Evaluating it	No interest	Already in production	No interest	No interest	No interest	No interest	Thinking about it	No interest	No interest	No interest	No interest	
11/3/16 11:00	"Configuration deployment, Configuration archiving, Software upgrade"		No	Yes	"Custom scripts (python ..), Third Party Software"	1 to 5 per week	Less than 1 per month		"Netmiko, Custom scripts (python ..)"	We haven't automated software qualification	We haven't automated the detection of anomaly	0-50	"Arista Networks, Cisco IOS, Cisco NX-OS, Juniper, HPE, Cisco ASA, Cisco IOS XR"		A lot					A little		"Ravello, Non-VMWare hypervisor"	Ansible	North America	Currently evaluating it	Thinking about it	Thinking about it	Thinking about it	Currently evaluating it	Thinking about it	Thinking about it	Already in production	No interest	No interest	Thinking about it	Already in production	Already in production	Thinking about it	Thinking about it	Thinking about it	I don't know	I don't know	I don't know	
11/3/16 12:28	"Day 0 Provisioning using a vendor solution, Configuration archiving, Data Collection / Reporting"	"Version control, Rancid/Oxidized"	No	Yes		More than 1 a day	1 to 5 per month					251-1000	"Cisco IOS, Juniper, Ciena"	"Datacenter, Campus/User Access, Internet Peering, WAN, SP Backbone"	A little	A little	None	None	None	A little	None	"VMWare, GNS3, UNetLab"	Puppet	North America	Currently evaluating it	Thinking about it	No interest	Thinking about it	Currently evaluating it	Thinking about it	No interest	Currently Evaluating it	No interest	Already in production	Currently Evaluating it	Currently Evaluating it	Already in production	No interest	Thinking about it	No interest	No interest	No interest	No interest	
11/3/16 13:03	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving, Software upgrade, Data Collection / Reporting, Compliance Checks"	Version control	No	Yes	"Ansible, Custom scripts (python ..)"	More than 1 a day	1 to 5 per month	Custom scripts (python ..)	Custom scripts (python ..)			1001+	"Cisco IOS, Cisco NX-OS"	"Datacenter, Campus/User Access"	A lot	None	A little	None	None	A little	None	"OpenStack, UNetLab"	"Ansible, Puppet"	Europe	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Currently evaluating it	Thinking about it	Thinking about it	Already in production	No interest		No interest	No interest	Already in production	Currently Evaluating it	Thinking about it	Thinking about it	No interest	No interest	No interest	
11/3/16 13:11	Configuration archiving	"Version control, Rancid/Oxidized"	No	Yes	We haven't automated the generation or deployment of our configurations	1 to 5 per week		We haven't automated the troubleshooting		We haven't automated software qualification	"Vendor specific tools, Ridgeline"	51-250	"Brocade, Cisco IOS, Cisco NX-OS, Juniper, Extreme Networks"	"Datacenter, Campus/User Access"	None	None	None	None	None	A little	A little	We are not using virtual network devices for training or qualification	"Puppet, Microsoft SCCM"	Europe	Thinking about it	I don't know	Thinking about it	Thinking about it	Thinking about it	I don't know	I don't know	Thinking about it	No interest	Already in production	I don't know	I don't know	I don't know	I don't know	No interest	I don't know	I don't know	I don't know	I don't know	
11/3/16 13:20	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving, Data Collection / Reporting, Compliance Checks"	"Version control, Rancid/Oxidized"	No	Yes	"NAPALM, Custom scripts (python ..)"	More than 1 a day	1 to 5 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	"NAPALM, Custom scripts"	251-1000	"Cisco IOS, Cisco NX-OS, Juniper"	"Datacenter, SP Backbone"	A lot							VMWare	"Ansible, Puppet, SaltStack"	Europe	Currently evaluating it	Thinking about it	Thinking about it	Currently evaluating it	Already in production	Thinking about it	No interest	Already in production	No interest	Already in production	Already in production	Already in production	Already in production	Thinking about it	Already in production	Thinking about it	Thinking about it	Thinking about it	Thinking about it	
11/3/16 13:46	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving, Troubleshooting, Software upgrade, Pre/Post Change Checks, Data Collection / Reporting"	"Version control, Vendor specific tools"	Partially	Yes	"Ansible, Custom scripts (python ..), Network vendor specific tools"	More than 1 a day	1 to 5 per month	"Custom scripts (python ..), Vendor specific tools, Arista CloudVision"	"Custom scripts (python ..), Network vendor specific tools, Arista CloudVision"			0-50	Arista Networks	Datacenter	A lot	A lot	A little	None	None	A little	A lot	"Vagrant, VMWare, OpenStack, Ravello, Docker or Containers, Non-VMWare hypervisor, Homemade solution, Vendor provided solution"	Ansible	North America	Already in production	Already in production	Already in production	Currently evaluating it	Already in production	Already in production	Currently evaluating it	Already in production					Already in production							
11/3/16 14:37	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving, Compliance Checks"	"ACE, Third Party Software"	No	Yes	"NAPALM, Custom scripts (python ..)"	1 to 5 per month	Less than 1 per month	We haven't automated the troubleshooting	Custom scripts (python ..)	We haven't automated software qualification	We haven't automated the detection of anomaly	251-1000	"Cisco IOS, Alcatel-Lucent"	"Campus/User Access, WAN"	A lot		A little			A little		"VMWare, UNetLab"	We don't have automation for server	Europe		Currently evaluating it		Currently evaluating it	Currently evaluating it			Currently Evaluating it				Already in production	Already in production							
11/3/16 14:57	"Configuration archiving, Data Collection / Reporting"	Solarwind NCM	No	Yes	We haven't automated the generation or deployment of our configurations	1 to 5 per month	Less than 1 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	0-50	"Cisco IOS, Cisco NX-OS, Dell, HPE"	"Datacenter, Campus/User Access, WAN"	None	None	None	None	None	None	None	"VMWare, Vendor provided solution"	"Ansible, Microsoft SCCM"	North America	Thinking about it	Thinking about it	Currently evaluating it	I don't know	Thinking about it	Thinking about it	I don't know	Currently Evaluating it	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	
11/3/16 15:07	"Configuration generation, Configuration deployment, Configuration archiving, Data Collection / Reporting"	"Version control, Rancid/Oxidized"	No	Yes	Ansible	More than 1 a day	1 to 5 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	0-50	"Cisco IOS, Cisco NX-OS"	"Datacenter, Campus/User Access, WAN"	A little							"VMWare, GNS3"	Ansible	Europe	Thinking about it	Currently evaluating it	Thinking about it	I don't know	I don't know	Currently evaluating it	I don't know	Already in production					Already in production							
11/3/16 16:22	"Configuration archiving, Troubleshooting, Software upgrade"	Rancid/Oxidized	No	Yes	"Ansible, Puppet"	More than 1 a day	Less than 1 per month	"Ansible, Puppet"	We haven't automated software upgrades	We haven't automated software qualification	Ansible	1001+	"Juniper, Ceragon, Ciena, Nokia"	SP Backbone	A little	A little	A little	None	None	None		"Non-VMWare hypervisor, OpenContrail, Third Party Software"	"Ansible, Puppet"	Europe	Thinking about it	Currently evaluating it	No interest	Thinking about it	Currently evaluating it	Currently evaluating it	I don't know	Already in production		Already in production		Thinking about it	Already in production						Thinking about it	
11/3/16 18:21	Configuration generation	in-house developed tool	No	Yes	Custom scripts (python ..)	More than 1 a day	1 to 5 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	51-250	"Brocade, Juniper, Huawei"	"Datacenter, Internet Peering, SP Backbone"	A little		A little					"VMWare, Non-VMWare hypervisor"	Ansible	Europe	I don't know	Thinking about it	I don't know	I don't know	Currently evaluating it	Thinking about it	I don't know	Thinking about it				Thinking about it								
11/3/16 18:33	"Configuration generation, Configuration deployment"	"Version control, Vendor specific tools"	Partially	Yes	Custom scripts (python ..)	1 to 5 per week	1 to 5 per month	Custom scripts (python ..)	Custom scripts (python ..)	Custom scripts	"Syslog, Custom scripts"	251-1000	"Juniper, Palo Alto Networks"	"Datacenter, Campus/User Access, Internet Peering"	A little	A lot						"VMWare, Docker or Containers"	Microsoft SCCM	North America	I don't know	Already in production	I don't know	I don't know	Already in production	Thinking about it	I don't know	Thinking about it	Thinking about it	I don't know	I don't know	I don't know	Already in production	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
11/3/16 20:17	"Configuration generation, Configuration deployment, Troubleshooting, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting"	"Version control, Rancid/Oxidized, Vendor specific tools"	Partially	Yes	"SaltStack, NAPALM, Custom scripts (python ..)"	More than 1 a day	1 to 5 per week	"SaltStack, NAPALM, Custom scripts (python ..)"	We haven't automated software upgrades	We haven't automated software qualification	"NAPALM, SaltStack, Custom scripts"	251-1000	"Arista Networks, Cisco IOS, Cisco NX-OS, Juniper"	"Datacenter, Internet Peering"	A lot	None	A little			A little		"VMWare, Docker or Containers, Vendor provided solution"	SaltStack	North America	Currently evaluating it	Already in production	Thinking about it	Thinking about it	Already in production	Thinking about it	I don't know	No interest	No interest	No interest	Already in production	Already in production	Already in production	No interest	Thinking about it	No interest	No interest	No interest	No interest	
11/3/16 20:28		We are not keeping track of that	No	Yes	"Ansible, Controller"	More than 1 a day		We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	51-250	"Cisco IOS, Cisco NX-OS, Huawei"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A little	None	A little	None	A little	A little	A little	"Non-VMWare hypervisor, GNS3, UNetLab, Homemade solution"	Puppet	Asia	Currently evaluating it	Thinking about it	No interest	Thinking about it	Thinking about it	No interest	No interest	Thinking about it	No interest	Thinking about it	No interest	I don't know	Currently Evaluating it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
11/3/16 20:50	"Configuration generation, Configuration deployment, Configuration archiving, Software upgrade, Data Collection / Reporting, Compliance Checks"	"Version control, Rancid/Oxidized"	No	Yes	"Ansible, NAPALM"	More than 1 a day	1 to 5 per month	We haven't automated the troubleshooting	Ansible	Ansible	We haven't automated the detection of anomaly	51-250	Arista Networks	"Datacenter, Internet Peering"	A lot	A lot	A little	A little	A little	A lot	A little	"Vagrant, Docker or Containers, Non-VMWare hypervisor, Homemade solution"	"Ansible, Chef"	Europe	Already in production	Currently evaluating it	No interest	Thinking about it	Currently evaluating it	Currently evaluating it	Thinking about it	Already in production	Already in production	No interest	No interest	Already in production	Already in production	I don't know	Currently Evaluating it	Currently Evaluating it	I don't know	I don't know	I don't know	
11/3/16 21:40	"Configuration generation, Configuration deployment, Troubleshooting, Software upgrade, Pre/Post Change Checks, Data Collection / Reporting"	"Version control, Rancid/Oxidized"	No	Yes	"Ansible, Puppet, Custom scripts (python ..)"	More than 1 a day	More than 1 a day	"Ansible, Puppet, Custom scripts (python ..)"	"Ansible, Custom scripts (python ..)"	Network vendor specific tools		1001+	"Arista Networks, Juniper"	"Datacenter, Internet Peering, WAN"	A lot	A little				A little		"Vagrant, Docker or Containers"	"Ansible, Puppet"	North America	Already in production	Thinking about it	Already in production	Already in production		Currently evaluating it	I don't know	Already in production		Already in production					Already in production					
11/3/16 22:14	"Configuration generation, Configuration archiving"	in-house developed tool	No	Yes	Custom scripts (python ..)	More than 1 a day	1 to 5 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	51-250	"Brocade, Cisco IOS, Juniper, Huawei"	"Datacenter, Internet Peering, SP Backbone"	A little	None	A lot	None	None	A little	None	VMWare	We don't have automation for server	Europe	I don't know	Thinking about it	I don't know	Thinking about it	I don't know	I don't know	I don't know	Thinking about it	No interest	Thinking about it	No interest	Thinking about it	Thinking about it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
